id,original_title,predicted_genres
860,WarGames,['action']
861,Total Recall,['sci-fi']
862,Toy Story,['kids']
863,Toy Story 2,['western']
869,Planet of the Apes,['sci-fi']
871,Planet of the Apes,['sci-fi']
879,Hook,['kids']
881,A Few Good Men,['crime']
888,The Flintstones,['animation']
913,The Thomas Crown Affair,['mystery']
914,The Great Dictator,['war']
917,मदर इण्डिया,['family']
920,Cars,['western']
924,Dawn of the Dead,['horror']
927,Gremlins,['kids']
928,Gremlins 2: The New Batch,['thriller']
929,Godzilla,['action']
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,['war']
941,Lethal Weapon,['crime']
943,Lethal Weapon 3,"['crime', 'mystery']"
947,Lawrence of Arabia,"['war', 'documentary', 'biography']"
948,Halloween,['horror']
949,Heat,['crime']
950,Ice Age: The Meltdown,['animation']
953,Madagascar,['adventure']
954,Mission: Impossible,['crime']
955,Mission: Impossible II,['action']
956,Mission: Impossible III,['crime']
957,Spaceballs,['sci-fi']
966,The Magnificent Seven,['western']
967,Spartacus,['war']
984,Dirty Harry,['crime']
1018,Mulholland Drive,['mystery']
1091,The Thing,['sci-fi']
1092,The Third Man,['mystery']
1124,The Prestige,['fantasy']
1250,Ghost Rider,['biography']
1265,Bridge to Terabithia,['western']
1267,Meet the Robinsons,['sci-fi']
1271,300,['war']
1278,The Dreamers,['adventure']
1359,American Psycho,['crime']
1366,Rocky,['biography']
1368,First Blood,['war']
1369,Rambo: First Blood Part II,['action']
1374,Rocky IV,['action']
1402,The Pursuit of Happyness,['family']
1422,The Departed,"['crime', 'mystery']"
1427,Perfume: The Story of a Murderer,['biography']
1487,Hellboy,['horror']
1495,Kingdom of Heaven,['history']
1538,Collateral,['crime']
1562,28 Weeks Later,['war']
1572,Die Hard: With a Vengeance,['action']
1579,Apocalypto,['adventure']
1585,It's a Wonderful Life,['family']
1593,Night at the Museum,['documentary']
1607,A Bronx Tale,['crime']
1620,Hitman,['crime']
1637,Speed,['crime']
1701,Con Air,['thriller']
1724,The Incredible Hulk,['action']
1726,Iron Man,['action']
1734,The Mummy Returns,['adventure']
1771,Captain America: The First Avenger,['war']
1813,The Devil's Advocate,['crime']
1824,50 First Dates,['romance']
1830,Lord of War,['crime']
1865,Pirates of the Caribbean: On Stranger Tides,['romance']
1885,The Karate Kid,['crime']
1891,The Empire Strikes Back,['action']
1892,Return of the Jedi,['action']
1893,Star Wars: Episode I - The Phantom Menace,['war']
1894,Star Wars: Episode II - Attack of the Clones,['action']
1895,Star Wars: Episode III - Revenge of the Sith,['war']
1903,Vanilla Sky,['drama']
1924,Superman,['animation']
1927,Hulk,['action']
1930,The Amazing Spider-Man,['biography']
1933,The Others,['horror']
1949,Zodiac,['crime']
1954,The Butterfly Effect,['sci-fi']
1979,Fantastic Four: Rise of the Silver Surfer,['action']
2005,Sister Act,['musical']
2022,Mr. Deeds,['biography']
2034,Training Day,"['crime', 'mystery']"
2048,"I, Robot",['sci-fi']
2059,National Treasure,['war']
2062,Ratatouille,['crime']
2085,Romeo Must Die,['mystery']
2105,American Pie,['family']
2108,The Breakfast Club,['family']
2109,Rush Hour,"['mystery', 'crime']"
2164,Stargate,['sci-fi']
2251,Unfaithful,['romance']
2270,Stardust,['fantasy']
2322,Sneakers,['mystery']
2323,Field of Dreams,['horror']
2493,The Princess Bride,['family']
2501,The Bourne Identity,['crime']
2503,The Bourne Ultimatum,['action']
2649,The Game,['family']
2666,Dark City,['horror']
2758,Addams Family Values,['mystery']
2770,American Pie 2,['family']
2907,The Addams Family,['mystery']
2976,Hairspray,['musical']
3021,1408,"['horror', 'mystery']"
3080,Top Hat,['musical']
3110,Shane,['western']
3131,Gangs of New York,['war']
3170,Bambi,['kids']
3558,"Girl, Interrupted",['drama']
3563,I Now Pronounce You Chuck & Larry,['family']
3597,I Know What You Did Last Summer,['mystery']
3933,Corpse Bride,['horror']
3981,What Women Want,['family']
4011,Beetlejuice,['horror']
4032,My Girl,['thriller']
4108,The Transporter,['crime']
4133,Blow,['biography']
4148,Revolutionary Road,['family']
4157,हे बेबी,['family']
4232,Scream,['horror']
4233,Scream 2,['mystery']
4234,Scream 3,['horror']
4247,Scary Movie,['horror']
4248,Scary Movie 2,['horror']
4251,वीर-ज़ारा,['biography']
4252,चलते चलते,['romance']
4253,हम तुम,"['romance', 'drama']"
4254,कल हो ना हो,['family']
4256,Scary Movie 3,['horror']
4257,Scary Movie 4,['thriller']
4258,Scary Movie 5,['horror']
4347,Atonement,['mystery']
4348,Pride & Prejudice,['family']
4435,अशोक,['drama']
4476,Legends of the Fall,['western']
4478,Indecent Proposal,['family']
4523,Enchanted,['history']
4547,Panic Room,['thriller']
4553,The Machinist,['horror']
4564,Sex and the City,['romance']
4614,The Sum of All Fears,['mystery']
4638,Hot Fuzz,['mystery']
4806,Runaway Bride,['romance']
4824,The Jackal,['crime']
4858,The Invasion,['mystery']
4909,The Day of the Jackal,['crime']
4922,The Curious Case of Benjamin Button,['biography']
4944,Burn After Reading,['mystery']
4951,10 Things I Hate About You,['romance']
4982,American Gangster,['crime']
4995,Boogie Nights,['family']
5174,Rush Hour 3,['crime']
5175,Rush Hour 2,['action']
5255,The Polar Express,['adventure']
5319,हम दिल दे चुके सनम,['family']
5492,Gunner,['action']
5503,The Fugitive,['crime']
5548,RoboCop,['crime']
5559,Bee Movie,['biography']
5689,The Blue Lagoon,['adventure']
5876,The Mist,['thriller']
5915,Into the Wild,['biography']
5924,Papillon,['crime']
5925,The Great Escape,['documentary']
5994,The Family Man,['mystery']
6075,Carlito's Way,['crime']
6114,Bram Stoker's Dracula,['history']
6145,Fracture,['mystery']
6466,Freddy vs. Jason,['horror']
6477,Alvin and the Chipmunks,['musical']
6479,I Am Legend,['biography']
6557,27 Dresses,['romance']
6620,Sabrina,['biography']
6637,National Treasure: Book of Secrets,['mystery']
6795,Zathura: A Space Adventure,['family']
6844,The Ten Commandments,['biography']
6957,The 40 Year Old Virgin,['family']
6977,No Country for Old Men,['crime']
7131,Van Helsing,['horror']
7191,Cloverfield,['horror']
7214,Coach Carter,['documentary']
7220,The Punisher,['crime']
7340,Carrie,['horror']
7345,There Will Be Blood,['western']
7350,The Bucket List,['drama']
7443,Chicken Run,['kids']
7445,Brothers,['war']
7446,Tropic Thunder,['action']
7451,xXx,['action']
7453,The Hitchhiker's Guide to the Galaxy,['sci-fi']
7484,Open Season,['western']
7485,Shooter,['crime']
7504,1947: Earth,['family']
7508,तारे ज़मीन पर,['family']
7509,Water,['family']
7512,Idiocracy,['sci-fi']
7518,Over the Hedge,['family']
7551,Déjà Vu,['mystery']
7553,Waiting...,['crime']
7555,Rambo,['war']
7913,रंग दे बसंती,['war']
7980,The Lovely Bones,['horror']
8009,Highlander,['war']
8055,The Reader,['biography']
8065,21,['biography']
8068,Desperado,['action']
8077,Alien³,['sci-fi']
8078,Alien Resurrection,['sci-fi']
8079,ओम शांति ओम,['mystery']
8095,Cleopatra,['history']
8204,The Spiderwick Chronicles,['mystery']
8224,8MM,"['mystery', 'crime']"
8247,Jumper,['sci-fi']
8273,American Wedding,['family']
8274,American Pie Presents: Band Camp,['romance']
8275,American Pie Presents: The Naked Mile,['family']
8277,American Pie Presents: Beta House,['family']
8292,Four Brothers,['mystery']
8321,In Bruges,['mystery']
8337,They Live,['sci-fi']
8355,Ice Age: Dawn of the Dinosaurs,['animation']
8358,Cast Away,['romance']
8363,Superbad,['family']
8367,Robin Hood: Prince of Thieves,['war']
8413,Event Horizon,['sci-fi']
8453,फ़ना,['romance']
8456,Never Back Down,['war']
8467,Dumb and Dumber,['family']
8470,John Q,['mystery']
8488,Hitch,['romance']
8536,Superman II,['war']
8587,The Lion King,['biography']
8643,The Exorcism of Emily Rose,['mystery']
8656,Deep Impact,['sci-fi']
8681,Taken,['thriller']
8699,Anchorman: The Legend of Ron Burgundy,['mystery']
8741,The Thin Red Line,['war']
8769,Christine,['action']
8810,Mad Max 2,['action']
8835,Legally Blonde,['thriller']
